,index,date,pv,npv,bs,wet,water,veg_areas,overall_veg_num,norm_bs,norm_pv,norm_npv,off_value
0,0,2018-01-16 00:09:16.940377,0.5097560975609756,0.3926829268292683,0.08195121951219513,0.0,0.0,1.0,0.984390243902439,0.08325074331020813,0.5178394449950446,0.3989098116947473,0
1,1,2018-02-01 00:09:07.083433,0.5260975609756098,0.37902439024390244,0.07682926829268294,0.0,0.0,1.0,0.9819512195121951,0.0782414307004471,0.5357675111773472,0.3859910581222057,0
2,2,2018-02-17 00:09:01.976812,0.5334146341463414,0.37926829268292683,0.07024390243902438,0.0,0.0,1.0,0.9829268292682926,0.07146401985111663,0.5426799007444169,0.38585607940446653,0
3,3,2018-03-05 00:08:54.336459,0.5368292682926828,0.3651219512195122,0.0797560975609756,0.0,0.0,1.0,0.9817073170731706,0.08124223602484472,0.5468322981366459,0.3719254658385094,0
4,4,2018-03-21 00:08:45.937021,0.5492682926829268,0.3651219512195122,0.06707317073170732,0.0,0.0,1.0,0.9814634146341463,0.0683399602385686,0.5596421471172962,0.3720178926441352,0
5,5,2018-04-06 00:08:38.542500,0.567560975609756,0.35585365853658535,0.05682926829268293,0.0,0.0,1.0,0.9802439024390244,0.05797462055237622,0.578999751181886,0.36302562826573775,0
6,6,2018-04-22 00:08:29.012551,0.5770731707317073,0.34414634146341466,0.059756097560975614,0.0,0.0,1.0,0.9809756097560975,0.060914967677772255,0.5882645450024863,0.35082048731974147,0
7,7,2018-05-08 00:08:20.037118,0.5970731707317073,0.326829268292683,0.05585365853658537,0.0,0.0,1.0,0.9797560975609757,0.057007717201891954,0.6094100074682598,0.3335822753298482,0
8,8,2018-05-24 00:08:08.223348,0.5890243902439024,0.29853658536585365,0.04487804878048781,0.04878048780487805,0.0,0.9512195121951219,0.9324390243902438,0.045781948795161516,0.6008880779364948,0.30454948546346566,0
9,9,2018-06-25 00:08:14.128035,0.4195121951219512,0.17609756097560975,0.04975609756097561,0.34146341463414637,0.0,0.6585365853658536,0.6453658536585366,0.050771528123444494,0.42807366849178685,0.17969138875062218,0
10,10,2018-07-11 00:08:22.534426,0.4558536585365854,0.2197560975609756,0.06560975609756098,0.24390243902439024,0.0,0.7560975609756098,0.7412195121951219,0.06692670085634717,0.46500373197216677,0.2241671281470959,0
11,11,2018-07-27 00:08:28.778186,0.557560975609756,0.2529268292682927,0.07292682926829269,0.0975609756097561,0.0,0.9024390243902439,0.8834146341463414,0.07449731316749945,0.569568086625096,0.25837362459764857,0
12,12,2018-08-12 00:08:38.464212,0.5760975609756097,0.27585365853658544,0.07951219512195122,0.04878048780487805,0.0,0.9512195121951219,0.9314634146341464,0.08119862816852834,0.5883164409020366,0.281704443124557,0
13,13,2018-08-28 00:08:45.987519,0.5417073170731708,0.34682926829268296,0.09365853658536585,0.0,0.0,1.0,0.9821951219512196,0.09535634467345418,0.5515271914576608,0.353116463868885,0
14,14,2018-09-13 00:08:51.104027,0.5119512195121951,0.3660975609756097,0.1029268292682927,0.0,0.0,1.0,0.9809756097560974,0.10492292391844857,0.5218796618597713,0.3731974142217802,0
15,15,2018-09-29 00:08:57.436022,0.4902439024390243,0.38658536585365855,0.10707317073170732,0.0,0.0,1.0,0.9839024390243901,0.1088249876053545,0.49826474962816064,0.39291026276648494,0
16,17,2018-10-31 00:09:08.912292,0.4285365853658536,0.45121951219512196,0.10585365853658536,0.0,0.0,1.0,0.9856097560975609,0.10739915862410296,0.4347933679782232,0.4578074733976739,0
17,18,2018-11-16 00:09:10.449271,0.4229268292682928,0.45268292682926836,0.10853658536585366,0.0,0.0,1.0,0.9841463414634147,0.11028500619578685,0.4297397769516729,0.4599752168525403,0
18,19,2018-12-02 00:09:09.020636,0.41815789473684206,0.3957894736842105,0.17184210526315788,0.0,0.0,1.0,0.9857894736842104,0.17431927389215163,0.4241857981847304,0.40149492792311803,0
19,20,2018-12-18 00:09:06.585180,0.4114634146341464,0.4548780487804879,0.09609756097560976,0.0,0.024390243902439025,0.975609756097561,0.962439024390244,0.09741263150087151,0.4170941861471326,0.46110293844955685,0
20,21,2019-01-03 00:09:06.455172,0.4314634146341463,0.4446341463414634,0.10829268292682928,0.0,0.0,1.0,0.9843902439024389,0.11000991080277506,0.4383052527254708,0.4516848364717543,0
21,22,2019-01-19 00:09:03.514993,0.47317073170731705,0.4075609756097562,0.10317073170731708,0.0,0.0,1.0,0.9839024390243903,0.10485870104115022,0.4809122459097669,0.41422905304908286,0
22,24,2019-02-20 00:08:57.733780,0.534390243902439,0.3746341463414634,0.07341463414634146,0.0,0.0,1.0,0.9824390243902439,0.07472691161866932,0.5439424031777558,0.381330685203575,0
23,27,2019-04-09 00:08:44.355504,0.5539024390243902,0.3609756097560976,0.06560975609756098,0.0,0.0,1.0,0.9804878048780488,0.06691542288557215,0.5649253731343283,0.36815920398009955,0
24,28,2019-04-25 00:08:37.449457,0.5863414634146341,0.3482926829268293,0.04658536585365854,0.0,0.0,1.0,0.9812195121951219,0.04747700720855084,0.5975640069599801,0.35495898583146906,0
25,29,2019-05-11 00:08:45.859080,0.5339024390243903,0.20609756097560974,0.04780487804878049,0.1951219512195122,0.0,0.8048780487804879,0.7878048780487805,0.04884089707770143,0.545473080117798,0.21056407158498827,0
26,30,2019-05-27 00:08:55.388517,0.48,0.1804878048780488,0.03170731707317074,0.2926829268292683,0.0,0.7073170731707317,0.6921951219512196,0.03240000687533303,0.4904862579281183,0.1844308083672803,0
27,31,2019-06-28 00:09:07.688160,0.42902439024390243,0.1602439024390244,0.03146341463414634,0.36585365853658536,0.0,0.6341463414634146,0.6207317073170732,0.032143370549619056,0.4382960371843404,0.16370693372945516,0
28,32,2019-07-30 00:09:16.532762,0.10121951219512196,0.03390243902439024,0.008048780487804878,0.8536585365853658,0.0,0.14634146341463417,0.1431707317073171,0.008227032866580795,0.10346117089791002,0.03465325965014335,0
29,33,2019-08-15 00:09:22.279891,0.4458536585365853,0.19926829268292684,0.04878048780487805,0.2926829268292683,0.0,0.7073170731707317,0.6939024390243902,0.049723520082301,0.45447297355223104,0.20312057953619958,0
30,34,2019-08-31 00:09:26.088895,0.5273170731707317,0.27634146341463417,0.08121951219512195,0.0975609756097561,0.0,0.9024390243902439,0.8848780487804878,0.08283136579987631,0.5377820205985964,0.28182563799177135,0
31,35,2019-09-16 00:09:31.091535,0.5643902439024391,0.2765853658536585,0.14170731707317075,0.0,0.0,1.0,0.9826829268292684,0.14420451724993796,0.5743360635393397,0.2814594192107222,0
32,36,2019-10-02 00:09:35.726140,0.4858536585365853,0.335609756097561,0.08999999999999998,0.07317073170731707,0.0,0.926829268292683,0.9114634146341463,0.09151725983409151,0.49404439455151844,0.34126761390707305,0
33,37,2019-10-18 00:09:37.926703,0.47902439024390236,0.3678048780487804,0.08975609756097562,0.04878048780487805,0.0,0.9512195121951219,0.9365853658536584,0.09115853658536588,0.4865091463414634,0.37355182926829267,0
34,38,2019-11-19 00:09:34.004270,0.43268292682926823,0.444390243902439,0.10878048780487808,0.0,0.0,1.0,0.9858536585365852,0.11034141514101933,0.4388916378030678,0.4507669470559129,0
35,39,2019-12-05 00:09:33.231447,0.44853658536585367,0.4380487804878049,0.0980487804878049,0.0,0.0,1.0,0.9846341463414634,0.09957889521922221,0.4555362893237553,0.4448848154570226,0
36,40,2020-01-22 00:09:22.956332,0.4707317073170732,0.4221951219512195,0.09097560975609754,0.0,0.0,1.0,0.9839024390243902,0.09246405552801189,0.47843331680713935,0.4291026276648488,0
37,41,2020-02-07 00:09:17.619432,0.4268292682926829,0.5009756097560977,0.06121951219512196,0.0,0.0,1.0,0.9890243902439027,0.061898890258939576,0.4315659679408137,0.5065351418002466,0
38,42,2020-02-23 00:09:14.210241,0.49,0.407560975609756,0.0851219512195122,0.0,0.0,1.0,0.9826829268292682,0.08662199056837927,0.49863489699677344,0.41474311243484735,0
39,44,2020-03-26 00:08:59.755154,0.5431707317073171,0.3434146341463415,0.09536585365853659,0.0,0.0,1.0,0.9819512195121952,0.09711872826626924,0.5531544957774466,0.34972677595628415,0
40,45,2020-04-11 00:08:51.907277,0.20390243902439023,0.11951219512195123,0.03609756097560975,0.6341463414634146,0.0,0.36585365853658536,0.3595121951219512,0.03673428864546447,0.20749908991627228,0.1216202799748486,0
41,46,2020-04-27 00:08:44.472092,0.6070731707317073,0.3060975609756098,0.06731707317073171,0.0,0.0,1.0,0.9804878048780488,0.06865671641791045,0.6191542288557214,0.3121890547263682,0
42,48,2020-05-29 00:08:42.001792,0.36195121951219517,0.14414634146341465,0.04365853658536586,0.43902439024390244,0.0,0.5609756097560976,0.5497560975609757,0.04454952712792434,0.36933797909407673,0.1470881035340966,0
43,49,2020-06-14 00:08:52.343094,0.3692682926829268,0.15146341463414636,0.05219512195121952,0.4146341463414634,0.0,0.5853658536585367,0.5729268292682927,0.05332834937544778,0.37728561193657917,0.1547518923465097,0
44,50,2020-06-30 00:09:00.559818,0.3495121951219512,0.12707317073170735,0.04926829268292683,0.4634146341463415,0.0,0.5365853658536586,0.5258536585365854,0.05027376804380289,0.3566450970632155,0.12966650074664016,0
45,53,2020-08-17 00:09:15.945742,0.524390243902439,0.23658536585365855,0.07609756097560975,0.14634146341463414,0.0,0.8536585365853658,0.8370731707317073,0.07760532150776053,0.5347802603900166,0.24127295468758883,0
46,57,2020-10-20 00:09:34.421764,0.5234146341463415,0.3668292682926829,0.09414634146341463,0.0,0.0,1.0,0.984390243902439,0.0956392467789891,0.5317145688800793,0.3726461843409316,0
47,58,2020-11-21 00:09:33.175996,0.47682926829268296,0.41341463414634144,0.09365853658536587,0.0,0.0,1.0,0.9839024390243902,0.09519087754090234,0.4846306395637085,0.42017848289538917,0
48,60,2020-12-23 00:09:33.702305,0.4856097560975611,0.41048780487804876,0.08609756097560975,0.0,0.0,1.0,0.9821951219512196,0.08765830643158677,0.49441271417928984,0.4179289793891234,0
